Library,PyPI/CRAN Last Week,PyPI/CRAN Last Month,PyPI/CRAN All Time,Conda All Time,Total All Time
`TorchGeo`_,"4,370","22,183","152,269","14,623","166,892"
`eo-learn`_,515,"5,918","116,963","29,461","146,424"
`Raster Vision`_,245,"1,410","51,291","2,146","53,437"
`PaddleRS`_,9,43,"1,129",0,"1,129"
`DeepForest`_,"1,551","11,265","674,881","47,852","722,733"
`SITS`_,145,820,"7,416","53,089","60,505"
`segment-geospatial`_,"1,257","6,716","56,070","7,718","63,788"
`GeoTorchAI`_,31,143,"2,033",0,"2,033"
`Moonshine`_,16,324,"5,855",0,"5,855"
