Dataset,Task,Source,License,# Samples,# Classes,Size (px),Resolution (m),Bands
:ref:`BigEarthNet`,C,Sentinel-1/2,"CDLA-Permissive-1.0","590,326",19--43,120x120,10,"SAR, MSI"
:ref:`Copernicus-Pretrain`,T,"Sentinel-1/2/3/5P, DEM","CC-BY-4.0",18.7M,-,"264x264 or 96x96 or 28x28 or 960x960",10--1000,"SAR, MSI, Air Pollutants, DEM"
:ref:`HySpecNet-11k`,-,EnMAP,CC0-1.0,11k,-,128,30,HSI
:ref:`Million-AID`,C,Google Earth,-,1M,51--73,,0.5--153,RGB
:ref:`MMEarth`,"C, S","Aster, Sentinel, ERA5","CC-BY-4.0","100K--1M",,"128x128 or 64x64",10,MSI
:ref:`SatlasPretrain`,"C, R, S, I, OD","NAIP, Landsat, Sentinel",ESA AND CC0-1.0 AND ODbL-1.0 AND CC-BY-4.0,302M,137,512,0.6--30,"SAR, MSI"
:ref:`Seasonal Contrast`,T,Sentinel-2,"CC-BY-4.0",100K--1M,-,264x264,10,MSI
:ref:`SkyScript`,IC,"NAIP, orthophotos, Planet SkySat, Sentinel-2, Landsat 8--9",MIT,5.2M,-,100--1000,0.1--30,RGB
:ref:`SSL4EO`-L,T,Landsat,"CC0-1.0",1M,-,264x264,30,MSI
:ref:`SSL4EO`-S12,T,Sentinel-1/2,"CC-BY-4.0",1M,-,264x264,10,"SAR, MSI"
