Dataset,Type,Source,License,Size (px),Resolution (m)
:ref:`Aboveground Woody Biomass`,Masks,"Landsat, LiDAR","CC-BY-4.0","40,000x40,000",30
:ref:`Aster Global DEM`,DEM,Aster,"public domain","3,601x3,601",30
:ref:`Canadian Building Footprints`,Geometries,Bing Imagery,"ODbL-1.0",-,-
:ref:`Cropland Data Layer`,Masks,Landsat,"public domain",-,30
:ref:`EDDMapS`,Points,Citizen Scientists,-,-,-
:ref:`EU-DEM`,DEM,"Aster, SRTM, Russian Topomaps","CSCDA-ESA",-,25
:ref:`Esri2020`,Masks,Sentinel-2,"CC-BY-4.0",-,10
:ref:`EuroCrops`,Geometries,EU Countries,"CC-BY-SA-4.0",-,-
:ref:`GBIF`,Points,Citizen Scientists,"CC0-1.0 OR CC-BY-4.0 OR CC-BY-NC-4.0",-,-
:ref:`GlobBiomass`,Masks,Landsat,"CC-BY-4.0","45,000x45,000",100
:ref:`Global Mangrove Distribution`,Masks,"Remote Sensing, In Situ Measurements","public domain",-,3
:ref:`GlobalBuildingMap`,Masks,PlanetScope,CC-BY-4.0,180K,3
:ref:`NCCM`,Masks,Sentinel-2,"CC-BY-4.0",-,10
:ref:`NLCD`,Masks,Landsat,"public domain",-,30
:ref:`Open Buildings`,Geometries,"Maxar, CNES/Airbus","CC-BY-4.0 OR ODbL-1.0",-,-
:ref:`OpenStreetMap`,Geometries,OpenStreetMap,ODbL-1.0,-,-
:ref:`South America Soybean`,Masks,"Landsat, MODIS",-,-,30
:ref:`iNaturalist`,Points,Citizen Scientists,-,-,-
