Dataset,Task,Source,# Samples,# Classes,Size (px),Resolution (m),Bands,License
:ref:`EuroSAT` 100,C,Sentinel-2,"27,000",10,64x64,10,MSI,MIT
:ref:`FLAIR-HUB` Toy,S,"Aerial, SPOT, Sentinel-1/2",250,19 or 23,512x512 and 256x256 and 64x64 and 10x10 and 10x10xT,0.2--10,"RGB, NIR, MSI, SAR, DEM",etalab-2.0
:ref:`LandCover.ai` 100,S,Aerial,"10,674",5,512x512,0.25--0.5,RGB,CC-BY-NC-SA-4.0
:ref:`OSCD` 100,CD,Sentinel-2,24,2,"241--1,180",60,MSI,CC-BY-NC-SA-4.0
:ref:`PASTIS` 100,I,Sentinel-1/2,"2,433",19,128x128xT,10,MSI,CC-BY-4.0
