Weight,Channels,Source,Citation,BigEarthNet,EuroSAT,So2Sat,OSCD
ViTSmall16_Weights.SENTINEL2_ALL_DINO,13,`link <https://github.com/zhu-xlab/SSL4EO-S12>`__,`link <https://arxiv.org/abs/2211.07044>`__,90.5,99.0,62.2,
ViTSmall16_Weights.SENTINEL2_ALL_MOCO,13,`link <https://github.com/zhu-xlab/SSL4EO-S12>`__,`link <https://arxiv.org/abs/2211.07044>`__,89.9,98.6,61.6,
ViTSmall16_Weights.LANDSAT_ETM_SR_MOCO,6,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,,,,
ViTSmall16_Weights.LANDSAT_ETM_SR_SIMCLR,6,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,,,,
ViTSmall16_Weights.LANDSAT_ETM_TOA_MOCO,9,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,,,,
ViTSmall16_Weights.LANDSAT_ETM_TOA_SIMCLR,9,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,,,,
ViTSmall16_Weights.LANDSAT_OLI_SR_MOCO,7,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,,,,
ViTSmall16_Weights.LANDSAT_OLI_SR_SIMCLR,7,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,,,,
ViTSmall16_Weights.LANDSAT_OLI_TIRS_TOA_MOCO,11,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,,,,
ViTSmall16_Weights.LANDSAT_OLI_TIRS_TOA_SIMCLR,11,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,,,,
ViTSmall16_Weights.LANDSAT_TM_TOA_MOCO,5,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,,,,
ViTSmall16_Weights.LANDSAT_TM_TOA_SIMCLR,5,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,,,,




