Weight,Landsat,Channels,Source,Citation,License,NLCD (Acc),NLCD (mIoU),CDL (Acc),CDL (mIoU)
ResNet18_Weights.LANDSAT_TM_TOA_MOCO,4--5,5,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",67.65,51.11,68.70,52.32
ResNet18_Weights.LANDSAT_TM_TOA_SIMCLR,4--5,5,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",60.86,43.74,61.94,44.86
ResNet50_Weights.LANDSAT_TM_TOA_MOCO,4--5,5,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",68.75,53.28,69.45,53.20
ResNet50_Weights.LANDSAT_TM_TOA_SIMCLR,4--5,5,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",62.05,44.98,62.80,45.77
ViTSmall16_Weights.LANDSAT_TM_TOA_MOCO,4--5,5,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",67.17,50.57,67.60,51.07
ViTSmall16_Weights.LANDSAT_TM_TOA_SIMCLR,4--5,5,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",66.82,50.17,66.92,50.28
ResNet18_Weights.LANDSAT_ETM_TOA_MOCO,7,9,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",65.22,48.39,62.84,45.81
ResNet18_Weights.LANDSAT_ETM_TOA_SIMCLR,7,9,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",58.76,41.60,56.47,39.34
ResNet50_Weights.LANDSAT_ETM_TOA_MOCO,7,9,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",66.60,49.92,64.12,47.19
ResNet50_Weights.LANDSAT_ETM_TOA_SIMCLR,7,9,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",57.17,40.02,54.95,37.88
ViTSmall16_Weights.LANDSAT_ETM_TOA_MOCO,7,9,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",63.75,46.79,60.88,43.70
ViTSmall16_Weights.LANDSAT_ETM_TOA_SIMCLR,7,9,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",63.33,46.34,59.06,41.91
ResNet18_Weights.LANDSAT_ETM_SR_MOCO,7,6,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",64.18,47.25,67.30,50.71
ResNet18_Weights.LANDSAT_ETM_SR_SIMCLR,7,6,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",57.26,40.11,54.42,37.48
ResNet50_Weights.LANDSAT_ETM_SR_MOCO,7,6,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",64.37,47.46,62.35,45.30
ResNet50_Weights.LANDSAT_ETM_SR_SIMCLR,7,6,`link <https://github.com/microsoft/torchgeo>`__,`link <https://arxiv.org/abs/2306.09424>`__,"CC0-1.0",57.79,40.64,55.69,38.59
