Library,PyPI/CRAN Last Week,PyPI/CRAN Last Month,PyPI/CRAN All Time,Conda All Time,Total All Time
`TorchGeo`_,"20,029","90,399","3,423,623","60,731","3,484,354"
`TerraTorch`_,"11,500","42,638","671,159","3,351","674,510"
`DeepForest`_,"3,585","11,676","1,164,469","121,706","1,286,175"
`OTB`_,0,0,0,0,0
`Raster Vision`_,71,293,"297,769","7,599","305,368"
`GeoAI`_,"3,172","12,120","239,151","64,653","303,804"
`samgeo`_,"2,460","13,365","456,789","93,347","550,136"
`spopt`_,"28,448","108,577","1,659,257","344,460","2,003,717"
`SPy`_,"6,579","46,995","2,126,350","291,964","2,418,314"
`GDL`_,0,0,0,0,0
`py4dgeo`_,185,"1,135","194,865",0,"194,865"
`SITS`_,459,774,"34,701","175,650","210,351"
`ML4Floods`_,34,68,"13,625",0,"13,625"
`srai`_,92,"1,008","70,713",0,"70,713"
`GeoTessera`_,757,"3,024","35,093",0,"35,093"
`AIDE`_,0,0,0,0,0
`scikit-eo`_,23,100,"30,921",0,"30,921"
`Myria3D`_,6,22,"6,021",0,"6,021"
`rs-embed`_,21,282,"5,229",0,"5,229"
`GeoDeep`_,664,"1,550","43,253",0,"43,253"
`torchange`_,486,"1,973","52,101","2,787","54,888"
